post_type,post_id,codice_electa,post_title,anno_opera,tax_materiali,misure_opera,tax_tipologia_opera,tax_tipo_opera,tax_subtipo_opera,esemplari_opera,file_immagine,id_import,codice_opera,post_status
catalogo,17421,T 81 086,Senza titolo / (Untitled),1981,tempera and pastel on white cardboard,350 x 250 mm,works on paper/canvas,mixed media,,,T_81_086.jpg,17421,7421,publish
catalogo,17422,T 81 087,Senza titolo / (Untitled),1981,tempera and litho pencil on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_81_087.jpg,17422,7422,publish
catalogo,17423,T 73 041,Senza titolo / (Untitled),1973,tempera and litho pencil on paper ,345 x 253 mm,works on paper/canvas,mixed media,,,T_73_041.jpg,17423,7423,publish
catalogo,17424,T 81 088,Senza titolo / (Untitled),1981,tempera and litho pencil on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_81_088.jpg,17424,7424,publish
catalogo,17425,T 74 026,Senza titolo / (Untitled),1974,tempera and lithopencil on white cardboard  ,350 x 250 mm,works on paper/canvas,mixed media,,,T_74_026.jpg,17425,7425,publish
catalogo,17426,T 81 089,Senza titolo / (Untitled),1981,tempera  and colour pastel on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_81_089.jpg,17426,7426,publish
catalogo,17427,T 74 025,Senza titolo / (Untitled),1974,tempera and pastel on cardboard  ,350 x 250 mm,works on paper/canvas,mixed media,,,T_74_025.jpg,17427,7427,publish
catalogo,17428,T 82 101,Senza titolo / (Untitled),1982,tempera and pencil on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_82_101.jpg,17428,7428,publish
catalogo,17429,T 82 102,Senza titolo / (Untitled),1982,tempera and litho pencil on white cardboard  ,350 x 250 mm,works on paper/canvas,mixed media,,,T_82_102.jpg,17429,7429,publish
catalogo,17430,T 82 103,Senza titolo / (Untitled),1982,tempera and conté pencil on white cardboard  ,350 x 250 mm,works on paper/canvas,mixed media,,,T_82_103.jpg,17430,7430,publish
catalogo,17431,T 73 034,Senza titolo / (Untitled),1973,tempera and pencil on paper,350 x 252 mm,works on paper/canvas,mixed media,,,T_73_034.jpg,17431,7431,publish
catalogo,17432,T 73 035,Senza titolo / (Untitled),1973,"tempera, pencil and pastel on paper",347 x 253 mm,works on paper/canvas,mixed media,,,T_73_035.jpg,17432,7432,publish
catalogo,17433,T 73 040,Senza titolo / (Untitled),1973,tempera and pencil and paper,346 x 246 mm,works on paper/canvas,mixed media,,,T_73_040.jpg,17433,7433,publish
catalogo,17434,T 73 036,Senza titolo / (Untitled),1973,tempera and pencil on paper ,347 x 247 mm,works on paper/canvas,mixed media,,,T_73_036.jpg,17434,7434,publish
catalogo,17435,T 73 033,Senza titolo / (Untitled),1973,tempera and pencil on paper,320 x 240 mm ,works on paper/canvas,mixed media,,,T_73_033.jpg,17435,7435,publish
catalogo,17436,T 82 104,Senza titolo / (Untitled),1982,tempera and litho pencil on white cardboard  ,350 x 250 mm,works on paper/canvas,mixed media,,,T_82_104.jpg,17436,7436,publish
catalogo,17437,T 82 105,Senza titolo / (Untitled),1982,"tempera, pastel and litho pencil on white cardboard  ",350 x 250 mm,works on paper/canvas,mixed media,,,T_82_105.jpg,17437,7437,publish
catalogo,17438,T 82 106,Senza titolo / (Untitled),1982,"pencil, pastel and tempera on white cardboard  ",350 x 250 mm,works on paper/canvas,mixed media,,,T_82_106.jpg,17438,7438,publish
catalogo,17439,T 81 090,Senza titolo / (Untitled),1981,"tempera, pastel and litho pencil on white cardboard ",350 x 250 mm,works on paper/canvas,mixed media,,,T_81_090.jpg,17439,7439,publish
catalogo,17440,T 82 107,Senza titolo / (Untitled),1982,"tempera, pencil and pastel on white cardboard  ",350 x 250 mm,works on paper/canvas,mixed media,,,T_82_107.jpg,17440,7440,publish
catalogo,17441,T 83 078,Senza titolo / (Untitled),1983,tempera and pencil on white cardboard ,250 x 175 mm,works on paper/canvas,mixed media,,,T_83_078.jpg,17441,7441,publish
catalogo,17442,T 83 077,Senza titolo / (Untitled),1983,tempera on white cardboard ,250 x 175 mm,works on paper/canvas,mixed media,,,T_83_077.jpg,17442,7442,publish
catalogo,17479,T 83 089,Senza titolo / (Untitled),circa 1983,"litho pencil, watercolour, gold tempera and black ink on paper ",340 x 240 mm,works on paper/canvas,mixed media,,,T_83_089.jpg,17479,7479,publish
catalogo,17480,T 83 090,Senza titolo / (Untitled),circa 1983,mixed media on paper,340 x 240 mm,works on paper/canvas,mixed media,,,T_83_090.jpg,17480,7480,publish
catalogo,17481,T 81 091,Senza titolo / (Untitled),circa 1981,pencil and watercolour on paper ,320 x 240 mm,works on paper/canvas,mixed media,,,T_81_091.jpg,17481,7481,publish
catalogo,17482,T 83 091,Senza titolo / (Untitled),circa 1983,"watercolour, charcoal, pencil and white tempera on white cardboard ",345 x 490 mm,works on paper/canvas,mixed media,,,T_83_091.jpg,17482,7482,publish
catalogo,17483,T 83 092,Senza titolo / (Untitled),circa 1983,pencil and watercolour on paper ,225 x 175 mm,works on paper/canvas,mixed media,,,T_83_092.jpg,17483,7483,publish
catalogo,17484,T 83 093,Fata / (Fairy),circa 1983,mixed media on paper,340 x 250 mm,works on paper/canvas,mixed media,,,T_83_093.jpg,17484,7484,publish
catalogo,17485,T 83 094,Senza titolo / (Untitled),circa 1983,"tempera, pastel and charcoal on cardboard",345 x 245 mm,works on paper/canvas,mixed media,,,T_83_094.jpg,17485,7485,publish
catalogo,17487,T 83 096,Senza titolo / (Untitled),circa 1983,"pencil, watercolour and gold on paper",340 x 240 mm,works on paper/canvas,mixed media,,,T_83_096.jpg,17487,7487,publish
catalogo,17490,T 76 040,Senza titolo / (Untitled),circa 1976,tempera and litho pencil on white cardboard ,290 x 250 mm,works on paper/canvas,mixed media,,,T_76_040.jpg,17490,7490,publish
catalogo,17494,T 84 094,Senza titolo / (Untitled),1984,tempera and pencil on paper,340 x 245 mm,works on paper/canvas,mixed media,,,T_84_094.jpg,17494,7494,publish
catalogo,17495,T 84 095,Senza titolo / (Untitled),circa 1984,tempera and pastel on paper,340 x 245 mm,works on paper/canvas,mixed media,,,T_84_095.jpg,17495,7495,publish
catalogo,17496,T 84 096,Senza titolo / (Untitled),circa 1984,"tempera, pencil and pastel on paper",350 x 245 mm,works on paper/canvas,mixed media,,,T_84_096.jpg,17496,7496,publish
catalogo,17497,T 84 097,Senza titolo / (Untitled),1984,"tempera, pencil and silver on paper ",340 x 245 mm,works on paper/canvas,mixed media,,,T_84_097.jpg,17497,7497,publish
catalogo,17598,T 75 002,Senza titolo / (Untitled),circa 1975,tempera and wax crayon on paper ,359 x 252 mm,works on paper/canvas,mixed media,,,T_75_002.jpg,17598,7598,publish
catalogo,17617,T 73 031,Senza titolo / (Untitled),circa 1973,tempera e matita su carta bianca,337 x 240 mm,works on paper/canvas,mixed media,,,T_73_031.jpg,17617,7617,publish
catalogo,17618,T 73 032,Senza titolo / (Untitled),circa 1973,pencil and tempera on paper,342 x 242 mm,works on paper/canvas,mixed media,,,T_73_032.jpg,17618,7618,publish
catalogo,17619,T 74 023,Senza titolo / (Untitled),1974,"tempera, pastel and pencil on white cardboard ",350 x 250 mm,works on paper/canvas,mixed media,,,T_74_023.jpg,17619,7619,publish
catalogo,17620,T 74 024,Senza titolo / (Untitled),1974,"tempera, pastel and pencil on white cardboard ",350 x 250 mm,works on paper/canvas,mixed media,,,T_74_024.jpg,17620,7620,publish
catalogo,17621,T 75 013,Senza titolo / (Untitled),1975,tempera and pastel on white cardboard  ,350 x 250 mm,works on paper/canvas,mixed media,,,T_75_013.jpg,17621,7621,publish
catalogo,17622,T 77 027,Senza titolo / (Untitled),1977,"tempera, colour pastel and pencil on paper",315 x 223 mm,works on paper/canvas,mixed media,,,T_77_027.jpg,17622,7622,publish
catalogo,17623,T 77 028,Senza titolo / (Untitled),1977,"tempera, colour pastel and pencil on paper",315 x 223 mm,works on paper/canvas,mixed media,,,T_77_028.jpg,17623,7623,publish
catalogo,17624,T 77 029,Senza titolo / (Untitled),1977,tempera and colour pastel on paper,315 x 223 mm,works on paper/canvas,mixed media,,,T_77_029.jpg,17624,7624,publish
catalogo,17625,T 77 030,Senza titolo / (Untitled),1977,tempera on paper,315 x 223 mm,works on paper/canvas,mixed media,,,T_77_030.jpg,17625,7625,publish
catalogo,17626,T 77 031,Senza titolo / (Untitled),1977,tempera and colour pencil on paper,315 x 223 mm,works on paper/canvas,mixed media,,,T_77_031.jpg,17626,7626,publish
catalogo,17627,T 77 032,Senza titolo / (Untitled),1977,tempera and colour pencil on paper,315 x 223 mm,works on paper/canvas,mixed media,,,T_77_032.jpg,17627,7627,publish
catalogo,17628,T 77 033,Senza titolo / (Untitled),1977,tempera and colour pencil on paper,315 x 223 mm,works on paper/canvas,mixed media,,,T_77_033.jpg,17628,7628,publish
catalogo,17629,T 77 035,Senza titolo / (Untitled),1977,tempera and pencil on paper ,315 x 223 mm,works on paper/canvas,mixed media,,,T_77_035.jpg,17629,7629,publish
catalogo,17630,T 77 036,Senza titolo / (Untitled),1977,tempera and colour pastel on paper ,315 x 223 mm,works on paper/canvas,mixed media,,,T_77_036.jpg,17630,7630,publish
catalogo,17631,T 77 037,Senza titolo / (Untitled),1977,"tempera, colour pastel and litho pencil on paper ",315 x 223 mm,works on paper/canvas,mixed media,,,T_77_037.jpg,17631,7631,publish
catalogo,17632,T 77 038,Senza titolo / (Untitled),1977,tempera and colour pastel on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_77_038.jpg,17632,7632,publish
